categoria,archivo_imagen,descripcion,ficha_tecnica,codigo,imagen_nombre
Toyota,BOTADOR_AUTOELEVADOR_TOYOTA_MOTOR_4Y.webp,BOTADOR AUTOELEVADOR TOYOTA MOTOR 4Y,"BOTADOR AUTOELEVADOR TOYOTA MOTOR 4Y
DIAMETRO 21.4MM
LARGO 50.8MM
CODIGO 13750-76004-71
SERIE 8 NAFTA 4Y 32-8FG15, 32-8FG18, 32-8FG20, 32-8FG25, 32-8FG30
SERIE 8 NAFTA 4Y 8FGU20, 8FGU25, 8FGU30
SERIE 7 NAFTA 4Y 42-7FG20, 42-7FG25
SERIE 7 NAFTA 4Y 02-7FG20, 02-7FG25
SERIE Z NAFTA 4Y FGZN20, FGZN25, FGZN30",13750-76004-71,BOTADOR_AUTOELEVADOR_TOYOTA_MOTOR_4Y.webp
Toyota,BOMBA_AGUA_AUTOELEVADOR_MOTOR_TOYOTA_4P_-_comprar_online.webp,BOMBA AGUA AUTOELEVADOR MOTOR TOYOTA 4P,"Bomba de Agua Autoelevador TOYOTA Motor 4P
4Agujeros Base bomba
Diametro Maza 52mm
Diametro Encastre 24mm
Entre Centros Agujeros 40mm
CODIGO 16120-76001-71
APLICACION 4P
SERIES 4 02-4FG15 , 02-7FG18 , 4FGC25",16120-76001-71,BOMBA_AGUA_AUTOELEVADOR_MOTOR_TOYOTA_4P.webp
Toyota,"Kit_de_extremos_de_dirección_para_autoelevador_Toyota,_un_solo_lado,_con_piezas_metálicas_y_bujes.webp",KIT EXTREMOS DE DIRECCION AUTOELEVADOR TOYOTA - 1 SOLO LADO -,"Este articulo es por un solo lado , de necesitar reparar ambos lados , agregar dos al carrito de compra.
Aplica a Autoelevadores de la serie 8/Z
CONTIENE
1 Bieleta Superior
1 Bieleta Inferior
2 Pernos de Bieltas
2 Bujes
4 Arandelas Concavas
2 Tuercas de Pernos
2 Alemites
MODELO COMPATIBLES 32-8FG18
32-8FG20
32-8FG25
62-8FD18
62-8FD20
62-8DF25
FDZN20
FDZN25
FGZN20
FGZN25
BENEFICIOS
Kit de Bieletas y Pernos Collarines Eje Trasero Autoelevador Toyota
El kit de bieletas con pernos collarines para eje trasero de autoelevador Toyota es un componente fundamental del sistema de dirección trasera. Este conjunto permite mantener la correcta articulación del eje oscilante, asegurando estabilidad, precisión en la dirección y un funcionamiento seguro del autoelevador.
Fabricado en acero de alta resistencia y con terminaciones diseñadas para soportar trabajo industrial intensivo, este kit garantiza una larga vida útil incluso en condiciones exigentes de operación.
Este repuesto es utilizado en distintos modelos de autoelevadores Toyota, especialmente en equipos utilizados en logística, depósitos, industrias y centros de distribución.
Beneficios de reemplazar el kit de bieletas del eje trasero
✔ Mejora la estabilidad del autoelevador
Elimina juegos excesivos en el eje trasero que afectan el control del equipo.
✔ Dirección más precisa y segura
Un sistema de bieletas en buen estado permite maniobras más suaves y exactas.
✔ Reduce desgaste en otros componentes
Evita que el juego del eje trasero genere desgaste prematuro en bujes, pernos y estructura del eje.
✔ Mayor seguridad operativa
Mantener este kit en buen estado ayuda a prevenir movimientos inestables del autoelevador durante el trabajo.
✔ Mantenimiento preventivo clave
El reemplazo periódico de las bieletas prolonga la vida útil del eje trasero completo.
Aplicación
Repuesto para autoelevadores Toyota con eje trasero oscilante.
Recomendación técnica
Si el autoelevador presenta juego en el eje trasero, ruidos o inestabilidad al girar, es recomendable revisar y reemplazar el kit de bieletas y pernos collarines.
Ante cualquier duda, pasanos la foto de la chapa identificatoria de tu equipo, asi corroboramos que aplique para tu AUTOELEVADOR.",,"Kit_de_extremos_de_dirección_para_autoelevador_Toyota,_un_solo_lado,_con_piezas_metálicas_y_bujes.webp"
Toyota,KIT_REPARACION_BOMBA_FRENO_AUTOELEVADOR_TOYOTA_SERIE_7_8_Z-_1.5TN-3TN_-_comprar_online.webp,KIT REPARACION BOMBA FRENO AUTOELEVADOR TOYOTA SERIE 7/8/Z- 1.5TN-3TN,"KIT reparacion de freno para autoelevador TOYOTA.
Diametro Cilindro 3/4
CODIGO 04471-20111-71
Aplica a Modelos
62-7FD25 42-7FG25 62-8FD25 FDZN25 FGZN25
8DFU25 62-8FD20 FDZN30 42-7FG25 62-8FD18",04471-20111-71,KIT_REPARACION_BOMBA_FRENO_AUTOELEVADOR_TOYOTA_SERIE_7_8_Z_1.5TN_3TN.webp
Toyota,KIT_REPARACION_CARBURADOR_AUTOELEVADOR_TOYOTA_MOTOR_4Y_-_comprar_online.webp,KIT REPARACION CARBURADOR AUTOELEVADOR TOYOTA MOTOR 4Y,"Aplica a Motores TOYOTA 4Y
CODIGO 04212-78020-71",04212-78020-71,KIT_REPARACION_CARBURADOR_AUTOELEVADOR_TOYOTA_MOTOR_4Y.webp
Toyota,MANGUERA_SALIDA_AIRE_AUTOELEVADOR_TOYOTA_-_comprar_online.webp,MANGUERA SALIDA AIRE AUTOELEVADOR TOYOTA,"MANGUERA SALIDA AIRE AUTOELEVADOR TOYOTA
CODIGO 17811-26620-71
Codigo 1703-44
Aplicacion Serie 8",17811-26620-71,MANGUERA_SALIDA_AIRE_AUTOELEVADOR_TOYOTA.webp
Toyota,BOMBA_AGUA_COMPLETA_AUTOELEVADOR_MOTOR_TOYOTA_1DZ-_SERIE_8-_SERIE_Z_-_comprar_online.webp,BOMBA AGUA COMPLETA AUTOELEVADOR MOTOR TOYOTA 1DZ- SERIE 8- SERIE Z,"Bomba de Agua Autoelevador TOYOTA Motor DIESEL 1DZ
CODIGO 16100-UC040
APLICACION
SERIE 8 DIESEL 1DZ 62-8FD15, 62-8FD18, 62-8FD20, 62-8DF25, 62-8DF30
SERIE 8 DIESEL 1DZ 8FDU20, 8FDU25, 8FDU30
SERIE Z DIESEL 1DZ FDZN20, FDZN25, FDZN30",16100-UC040,BOMBA_AGUA_COMPLETA_AUTOELEVADOR_MOTOR_TOYOTA_1DZ_SERIE_8_SERIE_Z.webp
Toyota,RETEN_BANCADA_TRASERA_MOTOR_AUTOELEVADOR_TOYOTA_-_comprar_online.webp,RETEN BANCADA TRASERA MOTOR AUTOELEVADOR TOYOTA,"Reten bancada trasera motor Autoelevador TOYOTA
Codigo 1106-46A 90311-80950-71
DIAMETRO EXTERIOR DIAMETRO INTERIOR ALTURA
100mm 80mm 8,5mm
Motores TOYOTA 4Y / NISSAN K15,K21,K25,H15,H20-2,H25-1,H25-2",1106-46A,RETEN_BANCADA_TRASERA_MOTOR_AUTOELEVADOR_TOYOTA.webp
Toyota,PALETA_VENTILADOR_AUTOELEVADOR_TOYOTA_MOTORES_1DZ_DIESEL___NAFTA_4Y_-_comprar_online.webp,PALETA VENTILADOR AUTOELEVADOR TOYOTA MOTORES 1DZ DIESEL / NAFTA 4Y,"Paleta Ventilador para motores Toyota Diesel 1DZ / Nafta 4Y
6 ASPAS
Medidas en Segunda FOTO
CODIGO 16361-23860-71
APLICACION
SERIE 8 NAFTA 4Y 32-8FG15, 32-8FG18, 32-8FG20, 32-8FG25, 32-8FG30
SERIE 8 DIESEL 1DZ 62-8FD15, 62-8FD18, 62-8FD20, 62-8DF25, 62-8DF30
SERIE 8 NAFTA 4Y 8FGU20, 8FGU25, 8FGU30
SERIE 8 DIESEL 1DZ 8FDU20, 8FDU25, 8FDU30
SERIE 7 NAFTA 4Y 42-7FG20, 42-7FG25
SERIE 7 NAFTA 4Y 02-7FG20, 02-7FG25
SERIE 7 DIESEL 1DZ 62-7FD20, 62-7FD25
SERIE 7 DIESEL 1DZ 02-7FD20, 02-7FD25
SERIE Z DIESEL 1DZ FDZN20, FDZN25, FDZN30
SERIE Z NAFTA 4Y FGZN20, FGZN25, FGZN30",16361-23860-71,PALETA_VENTILADOR_AUTOELEVADOR_TOYOTA_MOTORES_1DZ_DIESEL_NAFTA_4Y.webp
Toyota,CODO_AGUA_MOTOR_DIESEL_1DZ_AUTOELEVADOR_TOYOTA.webp,CODO AGUA MOTOR DIESEL 1DZ AUTOELEVADOR TOYOTA,"Codo salida agua MOTOR DIESEL 1DZ SERIE 7
CODIGO 1601-47
CODIGO 16321-UC010 / 16321-78200",1601-47,CODO_AGUA_MOTOR_DIESEL_1DZ_AUTOELEVADOR_TOYOTA.webp 
